Tar Conversion into PAH                 ,,,,,,,,,,,,,,,
time s ,Tmp C  ,Tar    ,Oils   ,CO2    ,H2O    ,CO     ,GHCs   ,HCN    ,CH4    ,C2H4   ,C2H6   ,C3H6   ,C3H8   ,H2     ,H2S    
0.00E+00,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.31E-04,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.53E-04,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.27E-03,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.70E-03,144,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0
2.12E-03,173,0.01,0,0.02,0.02,0.01,0.04,0,0.02,0.01,0,0.01,0,0,0
2.54E-03,203,0.04,0,0.06,0.06,0.02,0.08,0,0.04,0.02,0,0.01,0,0,0
2.96E-03,232,0.12,0,0.1,0.11,0.04,0.12,0,0.07,0.03,0,0.02,0,0,0
3.38E-03,262,0.32,0,0.16,0.16,0.06,0.18,0,0.1,0.04,0.01,0.03,0,0,0.01
3.80E-03,291,0.64,0,0.23,0.24,0.09,0.25,0.01,0.14,0.05,0.01,0.04,0,0,0.01
4.22E-03,321,0.91,0,0.31,0.33,0.13,0.34,0.01,0.19,0.07,0.01,0.06,0,0,0.01
4.65E-03,350,1.06,0,0.42,0.44,0.17,0.45,0.01,0.24,0.1,0.02,0.08,0,0,0.02
5.07E-03,380,1.2,0,0.55,0.57,0.22,0.58,0.01,0.32,0.13,0.02,0.1,0,0,0.02
5.49E-03,409,1.46,0,0.7,0.73,0.29,0.74,0.01,0.4,0.16,0.03,0.12,0,0,0.03
5.91E-03,439,1.91,0,0.87,0.91,0.36,0.92,0.01,0.5,0.2,0.03,0.15,0,0,0.04
6.33E-03,468,2.65,0,1.07,1.12,0.45,1.12,0.02,0.61,0.24,0.04,0.19,0,0,0.04
6.75E-03,498,3.66,0,1.3,1.35,0.55,1.35,0.02,0.73,0.29,0.05,0.23,0,0,0.05
7.17E-03,527,4.76,0,1.54,1.61,0.66,1.61,0.02,0.87,0.35,0.06,0.27,0,0,0.06
7.60E-03,557,5.88,0,1.81,1.89,0.79,1.88,0.02,1.02,0.41,0.07,0.31,0,0,0.07
