Tar Conversion into PAH                 ,,,,,,,,,,,,,,,
time s ,Tmp C  ,Tar    ,Oils   ,CO2    ,H2O    ,CO     ,GHCs   ,HCN    ,CH4    ,C2H4   ,C2H6   ,C3H6   ,C3H8   ,H2     ,H2S    
8.70E-04,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.73E-03,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.59E-03,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.45E-03,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.31E-03,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.17E-03,206,0.01,0,0,0.01,0,0.01,0.01,0,0,0,0,0,0,0
6.03E-03,236,0.03,0,0.01,0.01,0,0.02,0.01,0.01,0,0,0,0,0,0
6.89E-03,266,0.1,0,0.01,0.02,0,0.03,0.01,0.01,0,0,0,0,0,0
7.75E-03,296,0.29,0,0.02,0.04,0.01,0.04,0.01,0.02,0.01,0.01,0.01,0,0,0
8.61E-03,326,0.61,0,0.03,0.06,0.01,0.07,0.01,0.03,0.01,0.01,0.01,0,0,0
9.47E-03,356,0.87,0,0.04,0.09,0.02,0.1,0.01,0.05,0.02,0.02,0.02,0,0,0
1.03E-02,387,1.02,0,0.06,0.13,0.03,0.15,0.01,0.07,0.03,0.02,0.03,0,0,0
1.12E-02,417,1.2,0,0.09,0.18,0.04,0.21,0.01,0.1,0.04,0.04,0.04,0,0,0
1.21E-02,447,1.52,0,0.12,0.25,0.05,0.29,0.01,0.13,0.05,0.05,0.05,0,0,0.01
1.29E-02,477,2.12,0,0.17,0.33,0.07,0.39,0.02,0.18,0.07,0.06,0.07,0,0,0.01
1.38E-02,507,3.06,0,0.22,0.44,0.09,0.51,0.02,0.23,0.09,0.08,0.09,0,0,0.01
1.46E-02,537,4.24,0,0.28,0.57,0.12,0.65,0.02,0.3,0.11,0.11,0.12,0,0,0.02
1.55E-02,567,5.59,0,0.36,0.72,0.15,0.83,0.02,0.38,0.14,0.14,0.15,0,0,0.02
1.64E-02,597,7.25,0,0.46,0.91,0.2,1.05,0.02,0.48,0.18,0.17,0.19,0,0,0.02
1.72E-02,627,9.5,0,0.58,1.15,0.25,1.32,0.02,0.6,0.23,0.22,0.24,0,0.01,0.03
1.81E-02,657,12.11,0,0.73,1.45,0.33,1.65,0.03,0.75,0.28,0.28,0.3,0,0.01,0.04
1.89E-02,688,14.79,0,0.91,1.82,0.43,2.07,0.03,0.95,0.36,0.35,0.38,0,0.01,0.04
1.98E-02,718,16.69,0.01,1.16,2.3,0.59,2.72,0.03,1.26,0.47,0.46,0.5,0,0.61,0.03
2.07E-02,748,19.24,0.01,1.42,2.82,0.77,3.35,0.03,1.55,0.58,0.57,0.62,0,0.7,0.03
