Primary Devolatilization Products       ,,,,,,,,,,,,,,,,,
time s ,Tmp C  ,Gas    ,Tar    ,Wt Loss,Char   ,CO2    ,H2O    ,CO     ,GHCs   ,HCN    ,CH4    ,C2H4   ,C2H6   ,C3H6   ,C3H8   ,H2     ,H2S    
0.00E+00,25,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
4.54E-04,63,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
9.08E-04,102,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
1.36E-03,141,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
1.82E-03,179,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
2.27E-03,218,0.02,0.01,0.02,99.98,0,0,0,0.01,0,0,0,0,0,0,0,0
2.72E-03,256,0.04,0.05,0.09,99.91,0.01,0.01,0,0.01,0,0.01,0,0,0,0,0,0
3.18E-03,295,0.08,0.21,0.29,99.71,0.01,0.03,0.01,0.03,0,0.01,0.01,0.01,0.01,0,0,0
3.63E-03,334,0.14,0.59,0.73,99.27,0.02,0.05,0.01,0.05,0,0.02,0.01,0.01,0.01,0,0,0
4.09E-03,372,0.23,0.89,1.12,98.88,0.04,0.08,0.02,0.09,0,0.04,0.02,0.02,0.02,0,0,0
4.54E-03,411,0.36,1.06,1.42,98.58,0.06,0.13,0.03,0.14,0.01,0.07,0.02,0.02,0.03,0,0,0
4.99E-03,449,0.55,1.36,1.91,98.09,0.1,0.19,0.04,0.21,0.01,0.1,0.04,0.04,0.04,0,0,0.01
5.45E-03,488,0.81,2.01,2.82,97.18,0.14,0.28,0.06,0.31,0.01,0.15,0.05,0.05,0.06,0,0,0.01
5.90E-03,527,1.15,3.14,4.29,95.71,0.2,0.4,0.08,0.44,0.01,0.21,0.08,0.08,0.08,0,0,0.01
6.36E-03,565,1.58,4.54,6.11,93.89,0.27,0.55,0.11,0.61,0.01,0.28,0.11,0.1,0.11,0,0,0.01
6.81E-03,604,2.12,6.25,8.37,91.63,0.37,0.74,0.15,0.82,0.01,0.38,0.14,0.14,0.15,0,0,0.02
7.26E-03,642,2.84,8.81,11.64,88.36,0.49,0.99,0.21,1.09,0.02,0.51,0.19,0.19,0.2,0,0.01,0.03
7.72E-03,681,3.78,12.13,15.9,84.1,0.66,1.32,0.28,1.46,0.02,0.68,0.26,0.25,0.27,0,0.01,0.03
8.17E-03,719,5.03,15.56,20.59,79.41,0.87,1.75,0.38,1.94,0.02,0.91,0.34,0.33,0.36,0,0.01,0.04
8.63E-03,758,6.66,19.16,25.83,74.17,1.16,2.32,0.52,2.57,0.02,1.2,0.45,0.44,0.48,0,0.02,0.05
9.08E-03,797,8.36,22.8,31.16,68.84,1.45,2.9,0.67,3.22,0.02,1.51,0.57,0.55,0.6,0,0.03,0.06
9.53E-03,835,9.64,26.18,35.82,64.18,1.66,3.33,0.8,3.7,0.03,1.73,0.65,0.63,0.69,0,0.04,0.07
9.99E-03,874,10.72,29.25,39.97,60.03,1.84,3.69,0.94,4.09,0.03,1.91,0.72,0.7,0.76,0,0.05,0.08
1.04E-02,912,11.73,31.96,43.69,56.31,2,4.01,1.07,4.45,0.03,2.08,0.78,0.76,0.83,0,0.07,0.09
1.09E-02,951,12.67,34.29,46.95,53.05,2.15,4.3,1.22,4.77,0.03,2.23,0.84,0.82,0.89,0,0.09,0.1
1.14E-02,990,13.51,36.21,49.72,50.28,2.28,4.56,1.36,5.04,0.04,2.35,0.89,0.86,0.94,0,0.11,0.11
1.18E-02,1028,14.26,37.75,52.01,47.99,2.38,4.78,1.51,5.28,0.04,2.46,0.93,0.9,0.98,0,0.15,0.12
1.23E-02,1067,14.91,38.94,53.85,46.15,2.47,4.95,1.65,5.46,0.04,2.55,0.96,0.94,1.02,0,0.18,0.13
1.27E-02,1105,15.47,39.83,55.3,44.7,2.54,5.09,1.79,5.61,0.05,2.62,0.99,0.96,1.05,0,0.23,0.14
1.32E-02,1144,15.95,40.47,56.42,43.58,2.6,5.2,1.92,5.73,0.05,2.67,1.01,0.98,1.07,0,0.28,0.15
1.36E-02,1183,16.36,40.91,57.27,42.73,2.64,5.29,2.05,5.82,0.05,2.71,1.02,1,1.08,0,0.34,0.16
1.41E-02,1221,16.71,41.22,57.93,42.07,2.67,5.35,2.17,5.88,0.06,2.74,1.03,1.01,1.1,0,0.42,0.16
1.45E-02,1260,17.02,41.42,58.43,41.57,2.69,5.39,2.27,5.92,0.06,2.77,1.04,1.01,1.1,0,0.5,0.17
1.50E-02,1298,17.28,41.54,58.83,41.17,2.7,5.42,2.37,5.95,0.06,2.78,1.05,1.02,1.11,0,0.59,0.17
1.54E-02,1337,17.53,41.62,59.15,40.85,2.71,5.44,2.45,5.97,0.07,2.79,1.05,1.02,1.11,0,0.7,0.17
1.59E-02,1375,17.75,41.67,59.42,40.58,2.72,5.45,2.52,5.99,0.07,2.79,1.05,1.03,1.12,0,0.82,0.17
1.63E-02,1414,17.97,41.69,59.66,40.34,2.72,5.46,2.57,6,0.08,2.8,1.05,1.03,1.12,0,0.91,0.17
1.68E-02,1453,17.99,41.71,59.69,40.31,2.73,5.46,2.62,6,0.08,2.8,1.05,1.03,1.12,0,0.91,0.17
1.73E-02,1491,18.03,41.71,59.74,40.26,2.73,5.46,2.65,6,0.09,2.8,1.05,1.03,1.12,0,0.91,0.17
1.77E-02,1530,18.06,41.71,59.77,40.23,2.73,5.46,2.68,6,0.1,2.8,1.05,1.03,1.12,0,0.91,0.17
