Tar Conversion into PAH                 ,,,,,,,,,,,,,,,
time s ,Tmp C  ,Tar    ,Oils   ,CO2    ,H2O    ,CO     ,GHCs   ,HCN    ,CH4    ,C2H4   ,C2H6   ,C3H6   ,C3H8   ,H2     ,H2S    
0.00E+00,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.64E-04,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.18E-04,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.07E-03,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.43E-03,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.78E-03,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.14E-03,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.49E-03,237,0.02,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0
2.84E-03,267,0.07,0,0.01,0.01,0,0.02,0,0.01,0,0,0,0,0,0
3.20E-03,297,0.23,0,0.01,0.03,0.01,0.03,0,0.01,0.01,0.01,0.01,0,0,0
3.55E-03,327,0.52,0,0.02,0.04,0.01,0.05,0,0.02,0.01,0.01,0.01,0,0,0
3.91E-03,357,0.79,0,0.03,0.06,0.01,0.07,0,0.03,0.01,0.01,0.01,0,0,0
4.26E-03,387,0.96,0,0.05,0.09,0.02,0.11,0.01,0.05,0.02,0.02,0.02,0,0,0
4.61E-03,417,1.09,0,0.07,0.13,0.03,0.15,0.01,0.07,0.03,0.03,0.03,0,0,0
4.97E-03,447,1.33,0,0.09,0.18,0.04,0.21,0.01,0.1,0.04,0.04,0.04,0,0,0
5.32E-03,477,1.78,0,0.12,0.25,0.05,0.29,0.01,0.13,0.05,0.05,0.05,0,0,0.01
5.68E-03,507,2.53,0,0.16,0.33,0.07,0.38,0.01,0.17,0.07,0.06,0.07,0,0,0.01
6.03E-03,538,3.52,0,0.21,0.43,0.09,0.5,0.01,0.23,0.09,0.08,0.09,0,0,0.01
6.38E-03,568,4.63,0,0.28,0.55,0.11,0.63,0.01,0.29,0.11,0.11,0.12,0,0,0.01
