,,,,,FULL SIMULATION RESULTS from PC Coal Lab v.4.3
,,,,,,Niksa Energy Associates LLC

Fuel  1,in Test  1
Primary Devolatilization Products       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tar Conversion into PAH                 ,,,,,,,,,,,,,,,,,,,                                        
time s ,Tmp C  ,Gas    ,Tar    ,Wt Loss,Char   ,CO2    ,H2O    ,CO     ,GHCs   ,HCN    ,fN Char,fN Tar ,fN HCN ,%N Char,%N Tar ,fO Char,fO Tar ,fO Gas ,%O Char,%O Tar ,CH4    ,C2H4   ,C2H6   ,C3H6   ,C3H8   ,H2     ,H2S    ,%C Char,%H Char,%S Char,%C Tar ,%H Tar ,%S Tar ,Mn Tar ,Stime s ,Tmp C  ,STar    ,Oils   ,CO2    ,H2O    ,CO     ,GHCs   ,HCN    ,CH4    ,C2H4   ,C2H6   ,C3H6   ,C3H8   ,H2     ,H2S    ,fN Tar ,fN HCN ,fO Tar ,fO Gas ,%C Tar ,%H Tar ,%O Tar ,%N Tar ,%S Tar ,Mn Tar ,
 0.0000E+00,   25.,  0.00,  0.00,  0.00,100.00,  0.00,  0.00,  0.00,  0.00,  0.00, 1.000, 0.000, 0.000,  0.90,  0.00, 1.000, 0.000, 0.000, 20.93,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 72.62,  5.01,  0.54,100.00,  0.00,  0.00,   0.0, 0.4314E-03,   55.,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,   0.000,   0.000,   0.000,   1.000,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,
 0.5403E-03,   63.,  0.00,  0.00,  0.00,100.00,  0.00,  0.00,  0.00,  0.00,  0.00, 1.000, 0.000, 0.000,  0.90,  0.00, 1.000, 0.000, 0.000, 20.93,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 72.62,  5.01,  0.54,100.00,  0.00,  0.00,   0.0, 0.8529E-03,   85.,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,   0.000,   0.000,   0.000,   1.000,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,
 0.1081E-02,  100.,  0.00,  0.00,  0.00,100.00,  0.00,  0.00,  0.00,  0.00,  0.00, 1.000, 0.000, 0.000,  0.90,  0.00, 1.000, 0.000, 0.000, 20.93,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 72.62,  5.01,  0.54,100.00,  0.00,  0.00,   0.0, 0.1274E-02,  114.,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,   0.000,   0.000,   0.000,   1.000,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,
 0.1621E-02,  138.,  0.03,  0.00,  0.04, 99.96,  0.01,  0.01,  0.00,  0.01,  0.00, 1.000, 0.000, 0.000,  0.90,  0.90, 0.999, 0.000, 0.001, 20.92, 21.02,  0.01,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 72.63,  5.01,  0.54, 77.18,  0.00,  0.91, 222.2, 0.1696E-02,  144.,  0.00,  0.00,  0.00,  0.00,  0.00,  0.01,  0.00,  0.01,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,   0.000,   0.000,   0.000,   1.000,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,
 0.2161E-02,  176.,  0.15,  0.01,  0.16, 99.84,  0.04,  0.04,  0.02,  0.04,  0.00, 0.999, 0.000, 0.001,  0.90,  0.90, 0.996, 0.000, 0.004, 20.88, 21.02,  0.02,  0.01,  0.00,  0.01,  0.00,  0.00,  0.00, 72.67,  5.00,  0.54, 77.63,  0.00,  0.46, 222.2, 0.2117E-02,  173.,  0.01,  0.00,  0.02,  0.02,  0.01,  0.04,  0.00,  0.02,  0.01,  0.00,  0.01,  0.00,  0.00,  0.00,   0.000,   0.000,   0.000,   1.000,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,
 0.2701E-02,  214.,  0.32,  0.06,  0.38, 99.62,  0.09,  0.09,  0.04,  0.09,  0.00, 0.998, 0.001, 0.001,  0.90,  0.90, 0.991, 0.001, 0.008, 20.83, 21.02,  0.05,  0.02,  0.00,  0.02,  0.00,  0.00,  0.00, 72.73,  5.00,  0.54, 77.77,  0.00,  0.31, 222.3, 0.2539E-02,  203.,  0.04,  0.00,  0.06,  0.06,  0.02,  0.08,  0.00,  0.04,  0.02,  0.00,  0.01,  0.00,  0.00,  0.00,   0.000,   0.001,   0.000,   1.000,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,
 0.3242E-02,  252.,  0.54,  0.24,  0.78, 99.22,  0.15,  0.16,  0.06,  0.15,  0.00, 0.995, 0.002, 0.002,  0.90,  0.90, 0.984, 0.002, 0.014, 20.75, 21.02,  0.09,  0.03,  0.01,  0.03,  0.00,  0.00,  0.01, 72.82,  4.99,  0.54, 73.18,  4.65,  0.26, 222.4, 0.2960E-02,  232.,  0.12,  0.00,  0.10,  0.11,  0.04,  0.12,  0.00,  0.07,  0.03,  0.00,  0.02,  0.00,  0.00,  0.00,   0.001,   0.002,   0.001,   0.999, 75.52,  2.12, 21.17,  0.91,  0.29,224.38,
 0.3782E-02,  290.,  0.85,  0.62,  1.47, 98.53,  0.24,  0.25,  0.10,  0.24,  0.01, 0.991, 0.006, 0.003,  0.91,  0.90, 0.972, 0.006, 0.022, 20.65, 21.01,  0.13,  0.05,  0.01,  0.04,  0.00,  0.00,  0.01, 72.94,  4.97,  0.54, 72.23,  5.62,  0.24, 222.8, 0.3381E-02,  262.,  0.32,  0.00,  0.16,  0.16,  0.06,  0.18,  0.00,  0.10,  0.04,  0.01,  0.03,  0.00,  0.00,  0.01,   0.002,   0.002,   0.003,   0.997, 72.56,  5.32, 20.98,  0.90,  0.25,228.12,
 0.4322E-02,  327.,  1.25,  0.95,  2.20, 97.80,  0.36,  0.37,  0.15,  0.35,  0.01, 0.986, 0.009, 0.004,  0.91,  0.90, 0.958, 0.010, 0.032, 20.51, 21.01,  0.20,  0.08,  0.01,  0.06,  0.00,  0.00,  0.01, 73.10,  4.95,  0.54, 72.09,  5.76,  0.24, 224.2, 0.3803E-02,  291.,  0.64,  0.00,  0.23,  0.24,  0.09,  0.25,  0.01,  0.14,  0.05,  0.01,  0.04,  0.00,  0.00,  0.01,   0.005,   0.003,   0.007,   0.993, 72.23,  5.61, 21.02,  0.90,  0.24,230.97,
 0.4863E-02,  365.,  1.77,  1.12,  2.89, 97.11,  0.51,  0.53,  0.21,  0.50,  0.01, 0.983, 0.011, 0.005,  0.91,  0.90, 0.943, 0.011, 0.045, 20.33, 21.00,  0.28,  0.11,  0.02,  0.09,  0.00,  0.00,  0.02, 73.30,  4.92,  0.54, 71.97,  5.89,  0.25, 228.9, 0.4224E-02,  321.,  0.91,  0.00,  0.31,  0.33,  0.13,  0.34,  0.01,  0.19,  0.07,  0.01,  0.06,  0.00,  0.00,  0.01,   0.007,   0.004,   0.009,   0.991, 72.13,  5.72, 21.02,  0.90,  0.24,228.74,
