Primary Devolatilization Products       ,,,,,,,,,,,,,,,,,
time s ,Tmp C  ,Gas    ,Tar    ,Wt Loss,Char   ,CO2    ,H2O    ,CO     ,GHCs   ,HCN    ,CH4    ,C2H4   ,C2H6   ,C3H6   ,C3H8   ,H2     ,H2S    
0.00E+00,25,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
5.40E-04,63,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
1.08E-03,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
1.62E-03,138,0.03,0,0.04,99.96,0.01,0.01,0,0.01,0,0.01,0,0,0,0,0,0
2.16E-03,176,0.15,0.01,0.16,99.84,0.04,0.04,0.02,0.04,0,0.02,0.01,0,0.01,0,0,0
2.70E-03,214,0.32,0.06,0.38,99.62,0.09,0.09,0.04,0.09,0,0.05,0.02,0,0.02,0,0,0
3.24E-03,252,0.54,0.24,0.78,99.22,0.15,0.16,0.06,0.15,0,0.09,0.03,0.01,0.03,0,0,0.01
3.78E-03,290,0.85,0.62,1.47,98.53,0.24,0.25,0.1,0.24,0.01,0.13,0.05,0.01,0.04,0,0,0.01
4.32E-03,327,1.25,0.95,2.2,97.8,0.36,0.37,0.15,0.35,0.01,0.2,0.08,0.01,0.06,0,0,0.01
4.86E-03,365,1.77,1.12,2.89,97.11,0.51,0.53,0.21,0.5,0.01,0.28,0.11,0.02,0.09,0,0,0.02
5.40E-03,403,2.41,1.4,3.81,96.19,0.69,0.72,0.28,0.68,0.01,0.38,0.15,0.03,0.12,0,0,0.03
5.94E-03,441,3.2,1.96,5.15,94.85,0.91,0.95,0.38,0.9,0.01,0.5,0.2,0.03,0.16,0,0,0.04
6.48E-03,479,4.12,2.99,7.11,92.89,1.18,1.23,0.49,1.16,0.02,0.65,0.26,0.04,0.2,0,0,0.05
7.02E-03,517,5.19,4.37,9.56,90.44,1.48,1.54,0.63,1.45,0.02,0.82,0.33,0.05,0.25,0,0,0.06
7.56E-03,554,6.39,5.79,12.18,87.82,1.82,1.9,0.78,1.79,0.02,1,0.41,0.07,0.31,0,0,0.07
8.10E-03,592,7.72,7.58,15.31,84.69,2.19,2.29,0.96,2.16,0.03,1.21,0.49,0.08,0.37,0,0,0.09
8.65E-03,630,9.22,10.13,19.36,80.64,2.61,2.73,1.16,2.57,0.03,1.44,0.58,0.1,0.45,0,0.01,0.11
9.19E-03,668,10.93,13.01,23.93,76.07,3.09,3.22,1.4,3.04,0.04,1.71,0.69,0.11,0.53,0,0.01,0.12
9.73E-03,706,12.9,15.6,28.5,71.5,3.64,3.79,1.68,3.58,0.04,2.01,0.81,0.13,0.62,0,0.01,0.14
1.03E-02,743,15.27,18.06,33.33,66.67,4.29,4.48,2.03,4.23,0.05,2.38,0.96,0.16,0.73,0,0.02,0.16
1.08E-02,781,17.74,20.29,38.02,61.98,4.97,5.18,2.41,4.91,0.05,2.76,1.11,0.18,0.85,0,0.02,0.18
1.14E-02,819,19.56,22.17,41.73,58.27,5.45,5.68,2.74,5.38,0.06,3.02,1.22,0.2,0.93,0,0.03,0.2
1.19E-02,857,20.97,23.8,44.77,55.23,5.81,6.06,3.04,5.73,0.07,3.22,1.3,0.21,0.99,0,0.04,0.22
1.24E-02,895,22.24,25.17,47.42,52.58,6.12,6.38,3.34,6.03,0.07,3.39,1.37,0.23,1.05,0,0.05,0.24
1.30E-02,933,23.39,26.3,49.69,50.31,6.39,6.66,3.64,6.29,0.08,3.53,1.42,0.24,1.09,0,0.06,0.25
1.35E-02,970,24.41,27.21,51.62,48.38,6.61,6.9,3.93,6.5,0.09,3.66,1.47,0.24,1.13,0,0.08,0.27
1.41E-02,1008,25.3,27.92,53.23,46.77,6.8,7.09,4.22,6.68,0.1,3.76,1.51,0.25,1.16,0,0.1,0.28
1.46E-02,1046,26.09,28.47,54.56,45.44,6.95,7.25,4.5,6.83,0.1,3.84,1.55,0.26,1.19,0,0.13,0.29
1.51E-02,1084,26.77,28.88,55.65,44.35,7.07,7.38,4.78,6.94,0.11,3.9,1.57,0.26,1.21,0,0.15,0.3
1.57E-02,1122,27.36,29.18,56.54,43.46,7.17,7.47,5.04,7.03,0.12,3.95,1.59,0.26,1.22,0,0.19,0.3
1.62E-02,1159,27.88,29.39,57.27,42.73,7.23,7.55,5.3,7.1,0.13,3.99,1.61,0.27,1.23,0,0.23,0.31
1.68E-02,1197,28.33,29.54,57.87,42.13,7.29,7.6,5.54,7.15,0.15,4.02,1.62,0.27,1.24,0,0.27,0.31
1.73E-02,1235,28.73,29.65,58.38,41.62,7.32,7.64,5.77,7.18,0.16,4.04,1.63,0.27,1.25,0,0.32,0.31
1.78E-02,1273,29.1,29.72,58.81,41.19,7.35,7.66,5.98,7.21,0.17,4.05,1.63,0.27,1.25,0,0.38,0.31
1.84E-02,1311,29.43,29.76,59.19,40.81,7.36,7.68,6.18,7.22,0.18,4.06,1.64,0.27,1.25,0,0.44,0.31
1.89E-02,1349,29.73,29.79,59.52,40.48,7.38,7.69,6.37,7.23,0.2,4.07,1.64,0.27,1.26,0,0.51,0.32
1.95E-02,1386,30.01,29.81,59.82,40.18,7.38,7.7,6.53,7.24,0.21,4.07,1.64,0.27,1.26,0,0.59,0.32
2.00E-02,1424,30.27,29.82,60.09,39.91,7.38,7.7,6.68,7.24,0.23,4.07,1.64,0.27,1.26,0,0.66,0.32
2.05E-02,1462,30.39,29.82,60.21,39.79,7.38,7.7,6.81,7.24,0.25,4.07,1.64,0.27,1.26,0,0.66,0.32
2.11E-02,1500,30.53,29.82,60.34,39.66,7.38,7.7,6.93,7.24,0.26,4.07,1.64,0.27,1.26,0,0.66,0.32
